OBJECTID,FACILITYID,FIPSCODE,GEOID,CENSUSTRACT,GEOGRAPHICAREANAME,POPTOTAL,HOUSEHOLDCOUNT,RACEHISPANICORIGIN,RACEHISPANICRATIO,RACEWHITENONHISP,RACEWHITERATIO,RACEBLACKNONHISP,RACEBLACKRATIO,RACEASIANNONHISP,RACEASIANRATIO,RACEOTHER,RACEOTHERRATIO,RACEBIPOC,RACEBIPOCRATIO,EQUITYSCORERACE,INCMEDIANINCOME,EQUITYSCOREINCOME,INCMEDIANHISPANIC,INCMEDIANWHITE,INCMEDIANBLACK,INCMEDIANASIAN,INCMEDIANOTHER,EQUITYSCORECOMBINED,LANGGROUPPOPULATION,LEPTOTAL,LEPRATIO,LEPSPANISH,LEPSPANISHRATIO,LEPINDOEUROPEAN,LEPINDOEUROPEANRATIO,LEPASIANPACIFICISLAND,LEPASIANPACIFICISLANDRATIO,LEPOTHER,LEPOTHERRATIO,EQUITYSCORELANG,EDUGROUPPOPULATION,EDULESSTHANHS,EDULESSTHANHSRATIO,EQUITYSCOREEDU,LASTUPDATESOURCE,LASTUPDATE,ENTERPRISEID,INSANJOSE,Shape_Length,Shape_Area
65,43,06085502800,1400000US06085502800,5028.00,"Census Tract 5028, Santa Clara County, California",4419,1425,1060,0.24,1973,0.446,15,0.003,1092,0.247,279,0.063,2446,0.554,1,181528,2,,167167,,213816,250000,3,4078,443,0.109,39,0.088,90,0.203,314,0.709,0,0,1,2935,172,0.059,2,ACSDT5Y2022,2024/04/23 16:25:49+00,REF-CDTR-0000000043,Yes,18180.8814309291,18901668.0106806
66,37,06085502601,1400000US06085502601,5026.01,"Census Tract 5026.01, Santa Clara County, California",3048,1373,935,0.307,1704,0.559,34,0.011,242,0.079,133,0.044,1344,0.441,1,148417,3,139153,173086,,250000,139030,4,2914,177,0.061,82,0.463,0,0,84,0.475,11,0.062,1,2282,137,0.06,2,ACSDT5Y2022,2024/04/23 16:25:43+00,REF-CDTR-0000000037,Yes,17801.7805478767,15180398.3170287
67,364,06085512034,1400000US06085512034,5120.34,"Census Tract 5120.34, Santa Clara County, California",2932,988,850,0.29,1160,0.396,0,0,793,0.27,129,0.044,1772,0.604,2,169219,2,198155,174500,,146071,202532,4,2724,418,0.153,27,0.065,67,0.16,256,0.612,68,0.163,2,2059,126,0.061,2,ACSDT5Y2022,2024/04/23 16:28:16+00,REF-CDTR-0000000364,Yes,16723.707150794,11226464.9174045
68,351,06085512005,1400000US06085512005,5120.05,"Census Tract 5120.05, Santa Clara County, California",6633,2113,1666,0.251,3063,0.462,46,0.007,1437,0.217,421,0.063,3570,0.538,1,176855,2,,198043,,168088,175833,3,6190,868,0.14,243,0.28,251,0.289,363,0.418,11,0.013,2,4676,287,0.061,2,ACSDT5Y2022,2024/04/23 16:28:16+00,REF-CDTR-0000000351,Yes,22338.729767123,26057329.3996118
69,349,06085511918,1400000US06085511918,5119.18,"Census Tract 5119.18, Santa Clara County, California",3127,966,348,0.111,1496,0.478,0,0,1075,0.344,208,0.067,1631,0.522,1,231724,1,250000,228292,,231164,,2,2988,210,0.07,0,0,0,0,184,0.876,26,0.124,1,2108,134,0.064,2,ACSDT5Y2022,2024/04/23 16:28:16+00,REF-CDTR-0000000349,Yes,96763.2570750896,226162405.007033
70,211,06085506401,1400000US06085506401,5064.01,"Census Tract 5064.01, Santa Clara County, California",4710,2141,1255,0.266,1754,0.372,137,0.029,1235,0.262,329,0.07,2956,0.628,2,142793,3,74183,120543,,205417,322332,5,4458,712,0.16,212,0.298,171,0.24,317,0.445,12,0.017,2,3756,240,0.064,2,ACSDT5Y2022,2024/04/23 16:27:07+00,REF-CDTR-0000000211,Yes,15694.5935197102,14458028.1269444
71,360,06085512029,1400000US06085512029,5120.29,"Census Tract 5120.29, Santa Clara County, California",7849,2516,2694,0.343,3292,0.419,93,0.012,1401,0.178,369,0.047,4557,0.581,2,155000,2,127813,151296,,250000,128339,4,7487,591,0.079,196,0.332,37,0.063,358,0.606,0,0,1,4990,321,0.064,2,ACSDT5Y2022,2024/04/23 16:28:16+00,REF-CDTR-0000000360,Yes,20395.0176158433,20492490.7569894
72,209,06085506304,1400000US06085506304,5063.04,"Census Tract 5063.04, Santa Clara County, California",6164,2442,1611,0.261,1446,0.235,305,0.049,2572,0.417,230,0.037,4718,0.765,3,120889,4,58693,72269,111797,193125,92933,7,5610,1348,0.24,348,0.258,336,0.249,664,0.493,0,0,3,4182,274,0.066,2,ACSDT5Y2022,2024/04/23 16:27:07+00,REF-CDTR-0000000209,Yes,13593.0199408715,11613644.5672372
73,380,06085512058,1400000US06085512058,5120.58,"Census Tract 5120.58, Santa Clara County, California",5504,2311,1416,0.257,1212,0.22,222,0.04,2350,0.427,304,0.055,4292,0.78,3,113893,4,72635,124338,31111,131451,184938,7,4933,902,0.183,223,0.247,56,0.062,623,0.691,0,0,3,3746,251,0.067,2,ACSDT5Y2022,2024/04/23 16:28:16+00,REF-CDTR-0000000380,Yes,17346.0905476189,16515685.1794765
74,361,06085512030,1400000US06085512030,5120.30,"Census Tract 5120.30, Santa Clara County, California",2922,905,409,0.14,1336,0.457,67,0.023,907,0.31,203,0.069,1586,0.543,1,182344,1,169167,199808,,163000,250000,2,2696,446,0.165,60,0.135,123,0.276,263,0.59,0,0,2,1995,136,0.068,2,ACSDT5Y2022,2024/04/23 16:28:16+00,REF-CDTR-0000000361,Yes,17728.8265418578,12826809.0644708
75,103,06085503339,1400000US06085503339,5033.39,"Census Tract 5033.39, Santa Clara County, California",3934,1241,425,0.108,686,0.174,17,0.004,2577,0.655,229,0.058,3248,0.826,3,250000,1,250000,250000,,250000,250000,4,3836,240,0.063,0,0,30,0.125,210,0.875,0,0,1,2627,178,0.068,2,ACSDT5Y2022,2024/04/23 16:26:20+00,REF-CDTR-0000000103,Yes,34715.6110398997,40384614.204905
76,132,06085504201,1400000US06085504201,5042.01,"Census Tract 5042.01, Santa Clara County, California",5936,1803,1688,0.284,1914,0.322,177,0.03,1551,0.261,606,0.102,4022,0.678,2,184539,1,181250,182135,141938,247292,410586,3,5694,867,0.152,303,0.349,356,0.411,198,0.228,10,0.012,2,4417,303,0.069,2,ACSDT5Y2022,2024/04/23 16:26:37+00,REF-CDTR-0000000132,Yes,35469.5711292598,32201775.5139328
77,33,06085502301,1400000US06085502301,5023.01,"Census Tract 5023.01, Santa Clara County, California",3185,1258,695,0.218,1784,0.56,108,0.034,351,0.11,247,0.078,1401,0.44,1,166833,2,141759,203000,,234028,294264,3,2971,346,0.116,203,0.587,86,0.249,57,0.165,0,0,2,2265,161,0.071,2,ACSDT5Y2022,2024/04/23 16:25:37+00,REF-CDTR-0000000033,Yes,17242.568657511,13208648.8677044
78,93,06085503326,1400000US06085503326,5033.26,"Census Tract 5033.26, Santa Clara County, California",7172,1918,775,0.108,980,0.137,0,0,4941,0.689,476,0.066,6192,0.863,4,189612,1,150089,,,220962,135278,5,6942,1543,0.222,76,0.049,260,0.169,1207,0.782,0,0,3,4650,328,0.071,2,ACSDT5Y2022,2024/04/23 16:26:18+00,REF-CDTR-0000000093,Yes,45220.885985311,45851726.5311973
79,357,06085512025,1400000US06085512025,5120.25,"Census Tract 5120.25, Santa Clara County, California",2983,968,634,0.213,1170,0.392,61,0.02,894,0.3,224,0.075,1813,0.608,2,226364,1,179097,188472,178194,248750,179861,3,2816,334,0.119,182,0.545,12,0.036,140,0.419,0,0,2,2181,156,0.072,2,ACSDT5Y2022,2024/04/23 16:28:16+00,REF-CDTR-0000000357,Yes,15062.3158722642,13432272.4174405
80,102,06085503338,1400000US06085503338,5033.38,"Census Tract 5033.38, Santa Clara County, California",4092,1160,220,0.054,829,0.203,0,0,2788,0.681,255,0.062,3263,0.797,3,250000,1,242750,250000,,250000,,4,3954,850,0.215,0,0,197,0.232,613,0.721,40,0.047,3,2728,198,0.073,2,ACSDT5Y2022,2024/04/23 16:26:20+00,REF-CDTR-0000000102,Yes,70002.3840969643,101180487.408855
81,145,06085504322,1400000US06085504322,5043.22,"Census Tract 5043.22, Santa Clara County, California",6103,2144,357,0.058,553,0.091,257,0.042,4500,0.737,436,0.071,5550,0.909,4,174318,2,160208,214306,84408,181864,,6,5649,1487,0.263,16,0.011,185,0.124,1264,0.85,22,0.015,4,4511,329,0.073,2,ACSDT5Y2022,2024/04/23 16:26:39+00,REF-CDTR-0000000145,Yes,23379.1666113276,34434098.9032321
82,36,06085502500,1400000US06085502500,5025.00,"Census Tract 5025, Santa Clara County, California",6537,2378,1613,0.247,3645,0.558,67,0.01,809,0.124,403,0.062,2892,0.442,1,212722,1,195123,250000,,250000,365957,2,5882,528,0.09,337,0.638,59,0.112,132,0.25,0,0,1,4532,334,0.074,2,ACSDT5Y2022,2024/04/23 16:25:42+00,REF-CDTR-0000000036,Yes,23434.0441781538,26871480.9116689
83,11,06085501101,1400000US06085501101,5011.01,"Census Tract 5011.01, Santa Clara County, California",4369,1906,1556,0.356,1127,0.258,86,0.02,1311,0.3,289,0.066,3242,0.742,3,88583,5,75729,131509,183906,50795,147738,8,4138,710,0.172,158,0.223,52,0.073,500,0.704,0,0,3,3505,263,0.075,2,ACSDT5Y2022,2024/04/23 16:25:16+00,REF-CDTR-0000000011,Yes,12330.1532225257,7069988.49495897
84,221,06085506606,1400000US06085506606,5066.06,"Census Tract 5066.06, Santa Clara County, California",5137,1788,1293,0.252,1759,0.342,100,0.019,1715,0.334,270,0.053,3378,0.658,2,114574,4,99155,104289,126192,165527,114286,6,4772,836,0.175,364,0.435,169,0.202,303,0.362,0,0,3,3490,266,0.076,2,ACSDT5Y2022,2024/04/23 16:27:09+00,REF-CDTR-0000000221,Partial,14787.5760712695,12917920.3292367
85,138,06085504315,1400000US06085504315,5043.15,"Census Tract 5043.15, Santa Clara County, California",6719,1880,976,0.145,799,0.119,60,0.009,4714,0.702,170,0.025,5920,0.881,4,166042,2,151458,122222,,185625,337179,6,6553,1716,0.262,156,0.091,56,0.033,1504,0.876,0,0,4,4801,364,0.076,2,ACSDT5Y2022,2024/04/23 16:26:38+00,REF-CDTR-0000000138,Yes,17756.582978901,17077757.6962135
86,51,06085502910,1400000US06085502910,5029.10,"Census Tract 5029.10, Santa Clara County, California",3960,1419,1312,0.331,1661,0.419,84,0.021,691,0.174,212,0.054,2299,0.581,2,123994,4,99338,159583,,222688,221638,6,3717,448,0.121,144,0.321,161,0.359,143,0.319,0,0,2,2780,214,0.077,3,ACSDT5Y2022,2024/04/23 16:25:55+00,REF-CDTR-0000000051,Yes,18363.5028906895,12773638.3899069
87,376,06085512054,1400000US06085512054,5120.54,"Census Tract 5120.54, Santa Clara County, California",4150,1719,1621,0.391,765,0.184,237,0.057,1259,0.303,268,0.065,3385,0.816,3,116250,4,115197,113068,52356,184913,217983,7,3915,877,0.224,495,0.564,162,0.185,193,0.22,27,0.031,3,2925,226,0.077,3,ACSDT5Y2022,2024/04/23 16:28:16+00,REF-CDTR-0000000376,Yes,8418.97338447809,3898386.12355893
88,4,06085500400,1400000US06085500400,5004.00,"Census Tract 5004, Santa Clara County, California",2545,1029,803,0.316,805,0.316,157,0.062,530,0.208,250,0.098,1740,0.684,2,146607,3,144286,161667,136400,149821,160417,5,2385,288,0.121,124,0.431,29,0.101,128,0.444,7,0.024,2,1902,148,0.078,3,ACSDT5Y2022,2024/04/23 16:25:06+00,REF-CDTR-0000000004,Yes,13386.0510051309,10820675.7242389
89,374,06085512052,1400000US06085512052,5120.52,"Census Tract 5120.52, Santa Clara County, California",4279,1720,1214,0.284,1705,0.398,154,0.036,880,0.206,326,0.076,2574,0.602,2,132698,3,104167,119398,181678,195167,347589,5,3934,328,0.083,117,0.357,114,0.348,91,0.277,6,0.018,1,3160,246,0.078,3,ACSDT5Y2022,2024/04/23 16:28:16+00,REF-CDTR-0000000374,Yes,18209.7968029537,16530263.5377375
90,217,06085506601,1400000US06085506601,5066.01,"Census Tract 5066.01, Santa Clara County, California",3887,1537,873,0.225,1334,0.343,88,0.023,1449,0.373,143,0.037,2553,0.657,2,125208,3,76958,118417,,170822,76442,5,3682,639,0.174,97,0.152,101,0.158,385,0.603,56,0.088,3,2825,222,0.079,3,ACSDT5Y2022,2024/04/23 16:27:07+00,REF-CDTR-0000000217,Yes,16717.6122120482,16860680.0617312
91,8,06085500901,1400000US06085500901,5009.01,"Census Tract 5009.01, Santa Clara County, California",4459,2192,989,0.222,1127,0.253,234,0.052,2048,0.459,61,0.014,3332,0.747,3,73750,5,65842,103125,,,67270,8,4411,484,0.11,1,0.002,107,0.221,364,0.752,12,0.025,1,2878,226,0.079,3,ACSDT5Y2022,2024/04/23 16:25:11+00,REF-CDTR-0000000008,Yes,12890.2168130516,7758008.54574949
92,99,06085503333,1400000US06085503333,5033.33,"Census Tract 5033.33, Santa Clara County, California",4608,1365,1164,0.253,720,0.156,299,0.065,2266,0.492,159,0.035,3888,0.844,4,176354,2,212614,174844,191364,136202,213144,6,4455,832,0.187,171,0.206,91,0.109,570,0.685,0,0,3,3378,266,0.079,3,ACSDT5Y2022,2024/04/23 16:26:18+00,REF-CDTR-0000000099,Yes,25079.4554125634,22416247.2012811
93,352,06085512019,1400000US06085512019,5120.19,"Census Tract 5120.19, Santa Clara County, California",4404,1485,1096,0.249,1607,0.365,72,0.016,1405,0.319,224,0.051,2797,0.635,2,126326,3,78722,137731,169375,171844,183125,5,4258,630,0.148,13,0.021,57,0.09,440,0.698,120,0.19,2,3177,258,0.081,3,ACSDT5Y2022,2024/04/23 16:28:16+00,REF-CDTR-0000000352,Yes,15018.6795367052,11608501.3720755
94,373,06085512047,1400000US06085512047,5120.47,"Census Tract 5120.47, Santa Clara County, California",5783,1657,1507,0.261,2712,0.469,77,0.013,1222,0.211,265,0.046,3071,0.531,1,187813,1,131563,187813,,199063,140898,2,5400,736,0.136,361,0.49,145,0.197,174,0.236,56,0.076,2,3955,321,0.081,3,ACSDT5Y2022,2024/04/23 16:28:16+00,REF-CDTR-0000000373,Yes,18273.5555649267,17798291.9248995
95,367,06085512037,1400000US06085512037,5120.37,"Census Tract 5120.37, Santa Clara County, California",3064,952,756,0.247,1170,0.382,72,0.023,897,0.293,169,0.055,1894,0.618,2,172929,2,176250,171563,163026,186250,327083,4,2877,358,0.124,88,0.246,10,0.028,260,0.726,0,0,2,2162,180,0.083,3,ACSDT5Y2022,2024/04/23 16:28:16+00,REF-CDTR-0000000367,Yes,14264.2271763229,10850958.9861047
96,205,06085506203,1400000US06085506203,5062.03,"Census Tract 5062.03, Santa Clara County, California",6127,2228,1023,0.167,981,0.16,48,0.008,3875,0.632,200,0.033,5146,0.84,4,130735,3,,70745,,158613,103750,7,5846,1927,0.33,552,0.286,581,0.302,794,0.412,0,0,4,4334,364,0.084,3,ACSDT5Y2022,2024/04/23 16:27:07+00,REF-CDTR-0000000205,Yes,17183.4747551431,11872205.1685462
97,7,06085500800,1400000US06085500800,5008.00,"Census Tract 5008, Santa Clara County, California",4483,2425,1202,0.268,1727,0.385,550,0.123,673,0.15,331,0.074,2756,0.615,2,152112,3,112788,208869,115179,114292,190587,5,4411,751,0.17,378,0.503,45,0.06,195,0.26,133,0.177,3,3867,330,0.085,3,ACSDT5Y2022,2024/04/23 16:25:10+00,REF-CDTR-0000000007,Yes,23979.0197648839,18552122.7698779
98,142,06085504319,1400000US06085504319,5043.19,"Census Tract 5043.19, Santa Clara County, California",6720,2113,1219,0.181,471,0.07,122,0.018,4604,0.685,304,0.045,6249,0.93,5,175625,2,110594,120903,,201288,250000,7,6381,1283,0.201,243,0.189,108,0.084,932,0.726,0,0,3,5005,431,0.086,3,ACSDT5Y2022,2024/04/23 16:26:38+00,REF-CDTR-0000000142,Yes,21758.5039890658,22477237.520622
99,97,06085503331,1400000US06085503331,5033.31,"Census Tract 5033.31, Santa Clara County, California",3725,1381,524,0.141,1171,0.314,2,0.001,1733,0.465,295,0.079,2554,0.686,2,119663,4,185208,83906,,250000,182813,6,3590,451,0.126,22,0.049,143,0.317,286,0.634,0,0,2,3011,261,0.087,3,ACSDT5Y2022,2024/04/23 16:26:18+00,REF-CDTR-0000000097,Yes,19620.9243581651,14698111.885909
100,207,06085506301,1400000US06085506301,5063.01,"Census Tract 5063.01, Santa Clara County, California",5101,2154,990,0.194,1906,0.374,243,0.048,1512,0.296,450,0.088,3195,0.626,2,121667,4,122574,136250,51140,135197,135371,6,4687,572,0.122,238,0.416,34,0.059,300,0.524,0,0,2,4039,353,0.087,3,ACSDT5Y2022,2024/04/23 16:27:07+00,REF-CDTR-0000000207,Yes,18092.5159687468,16128819.1301784
101,133,06085504202,1400000US06085504202,5042.02,"Census Tract 5042.02, Santa Clara County, California",4184,1262,1142,0.273,1473,0.352,158,0.038,1227,0.293,184,0.044,2711,0.648,2,172115,2,147500,250000,124348,147321,253080,4,4020,778,0.194,319,0.41,99,0.127,360,0.463,0,0,3,3307,296,0.09,3,ACSDT5Y2022,2024/04/23 16:26:38+00,REF-CDTR-0000000133,Yes,88297.8874387626,166896899.364113
102,53,06085503002,1400000US06085503002,5030.02,"Census Tract 5030.02, Santa Clara County, California",3814,1339,1073,0.281,1832,0.48,118,0.031,490,0.128,301,0.079,1982,0.52,1,127028,3,112736,163125,51348,207548,,4,3503,274,0.078,189,0.69,9,0.033,59,0.215,17,0.062,1,2649,246,0.093,3,ACSDT5Y2022,2024/04/23 16:25:57+00,REF-CDTR-0000000053,Yes,16427.8418416944,14572695.2706124
103,6,06085500600,1400000US06085500600,5006.00,"Census Tract 5006, Santa Clara County, California",6069,2285,2196,0.362,1971,0.325,272,0.045,1243,0.205,387,0.064,4098,0.675,2,119675,4,96250,159688,62955,,187666,6,5919,827,0.14,517,0.625,0,0,290,0.351,20,0.024,2,4092,386,0.094,3,ACSDT5Y2022,2024/04/23 16:25:09+00,REF-CDTR-0000000006,Yes,17537.4149511281,14418342.554657
104,30,06085502202,1400000US06085502202,5022.02,"Census Tract 5022.02, Santa Clara County, California",2910,1383,491,0.169,1577,0.542,179,0.062,496,0.17,167,0.057,1333,0.458,1,104107,4,,110903,,219013,,5,2793,261,0.093,200,0.766,37,0.142,24,0.092,0,0,1,2306,218,0.095,3,ACSDT5Y2022,2024/04/23 16:25:33+00,REF-CDTR-0000000030,Yes,17756.3532386164,12005005.9285944
105,137,06085504314,1400000US06085504314,5043.14,"Census Tract 5043.14, Santa Clara County, California",4745,1346,567,0.119,471,0.099,250,0.053,3263,0.688,194,0.041,4274,0.901,4,165714,2,195341,,,208333,401125,6,4563,1403,0.307,71,0.051,57,0.041,1275,0.909,0,0,4,3488,335,0.096,3,ACSDT5Y2022,2024/04/23 16:26:38+00,REF-CDTR-0000000137,Yes,17398.3019992729,15880899.6631729
106,2,06085500200,1400000US06085500200,5002.00,"Census Tract 5002, Santa Clara County, California",5406,1927,1793,0.332,1413,0.261,468,0.087,1118,0.207,614,0.114,3993,0.739,3,155536,2,,198750,88290,180815,206281,5,5041,352,0.07,211,0.599,13,0.037,106,0.301,22,0.063,1,3983,392,0.098,3,ACSDT5Y2022,2024/04/23 16:25:04+00,REF-CDTR-0000000002,Yes,20564.4414336699,18085272.0501546
107,372,06085512045,1400000US06085512045,5120.45,"Census Tract 5120.45, Santa Clara County, California",5244,1707,1319,0.252,2224,0.424,14,0.003,1309,0.25,378,0.072,3020,0.576,2,174926,2,118707,153750,,220486,121696,4,4747,732,0.154,310,0.423,61,0.083,361,0.493,0,0,2,3660,367,0.1,3,ACSDT5Y2022,2024/04/23 16:28:16+00,REF-CDTR-0000000372,Yes,23329.288166999,22048845.142202
108,212,06085506402,1400000US06085506402,5064.02,"Census Tract 5064.02, Santa Clara County, California",5398,2181,1710,0.317,2325,0.431,145,0.027,932,0.173,286,0.053,3073,0.569,2,116783,4,130144,89973,,210972,130982,6,5126,660,0.129,315,0.477,123,0.186,175,0.265,47,0.071,2,4067,417,0.103,3,ACSDT5Y2022,2024/04/23 16:27:07+00,REF-CDTR-0000000212,Yes,17241.6406950837,15525049.1308262
109,94,06085503327,1400000US06085503327,5033.27,"Census Tract 5033.27, Santa Clara County, California",4522,1391,1258,0.278,462,0.102,46,0.01,2492,0.551,264,0.058,4060,0.898,4,144688,3,124167,,,220625,140924,7,4395,812,0.185,282,0.347,84,0.103,446,0.549,0,0,3,3185,337,0.106,3,ACSDT5Y2022,2024/04/23 16:26:18+00,REF-CDTR-0000000094,Yes,25750.6347905609,15501747.8269022
110,359,06085512027,1400000US06085512027,5120.27,"Census Tract 5120.27, Santa Clara County, California",4237,1466,1077,0.254,1638,0.387,29,0.007,1268,0.299,225,0.053,2599,0.613,2,117194,4,120221,116071,,175000,110500,6,3990,762,0.191,192,0.252,159,0.209,363,0.476,48,0.063,3,3067,332,0.108,3,ACSDT5Y2022,2024/04/23 16:28:16+00,REF-CDTR-0000000359,Yes,25079.2199724434,18766307.9163513
111,365,06085512035,1400000US06085512035,5120.35,"Census Tract 5120.35, Santa Clara County, California",4900,1312,1886,0.385,1197,0.244,189,0.039,1257,0.257,371,0.076,3703,0.756,3,186731,1,205457,167250,141983,227045,166818,4,4555,805,0.177,178,0.221,164,0.204,346,0.43,117,0.145,3,3262,359,0.11,3,ACSDT5Y2022,2024/04/23 16:28:16+00,REF-CDTR-0000000365,Yes,29183.7111545139,24589366.9274128
112,144,06085504321,1400000US06085504321,5043.21,"Census Tract 5043.21, Santa Clara County, California",5412,1640,999,0.185,519,0.096,68,0.013,3378,0.624,448,0.083,4893,0.904,4,172857,2,,111739,,183424,281625,6,5008,1697,0.339,288,0.17,58,0.034,1343,0.791,8,0.005,4,3953,433,0.11,3,ACSDT5Y2022,2024/04/23 16:26:38+00,REF-CDTR-0000000144,Yes,18147.2337399995,15608553.0411422
113,220,06085506605,1400000US06085506605,5066.05,"Census Tract 5066.05, Santa Clara County, California",4397,1539,951,0.216,1559,0.355,283,0.064,1217,0.277,387,0.088,2838,0.645,2,122917,4,86250,109524,250000,132778,214101,6,4210,1011,0.24,290,0.287,89,0.088,531,0.525,101,0.1,3,3498,387,0.111,3,ACSDT5Y2022,2024/04/23 16:27:09+00,REF-CDTR-0000000220,Yes,13569.4663138028,10754388.5876076
114,375,06085512053,1400000US06085512053,5120.53,"Census Tract 5120.53, Santa Clara County, California",5205,1610,2233,0.429,1681,0.323,371,0.071,611,0.117,309,0.059,3524,0.677,2,138750,3,124356,118636,,184773,242179,5,5049,412,0.082,132,0.32,36,0.087,195,0.473,49,0.119,1,3478,389,0.112,3,ACSDT5Y2022,2024/04/23 16:28:16+00,REF-CDTR-0000000375,Yes,16975.3462730683,11760107.0395882
115,14,06085501300,1400000US06085501300,5013.00,"Census Tract 5013, Santa Clara County, California",4063,1099,1099,0.27,1561,0.384,235,0.058,819,0.202,349,0.086,2502,0.616,2,127188,3,40508,153068,191450,206000,29769,5,3931,280,0.071,113,0.404,26,0.093,141,0.504,0,0,1,2309,262,0.113,3,ACSDT5Y2022,2024/04/23 16:25:19+00,REF-CDTR-0000000014,Yes,11507.8624590054,8040946.44483082
116,3,06085500300,1400000US06085500300,5003.00,"Census Tract 5003, Santa Clara County, California",4156,1681,1478,0.356,1713,0.412,161,0.039,597,0.144,207,0.05,2443,0.588,2,116172,4,93056,161125,,113750,118750,6,3993,441,0.11,300,0.68,29,0.066,95,0.215,17,0.039,1,3369,401,0.119,3,ACSDT5Y2022,2024/04/23 16:25:04+00,REF-CDTR-0000000003,Yes,31587.1582673543,31033140.7567214
117,135,06085504308,1400000US06085504308,5043.08,"Census Tract 5043.08, Santa Clara County, California",4895,1533,925,0.189,1110,0.227,26,0.005,2421,0.495,413,0.084,3785,0.773,3,179875,2,,171818,,250000,144595,5,4572,1046,0.229,66,0.063,69,0.066,911,0.871,0,0,3,3663,436,0.119,3,ACSDT5Y2022,2024/04/23 16:26:38+00,REF-CDTR-0000000135,Yes,69334.2560419155,200328697.893525
118,356,06085512024,1400000US06085512024,5120.24,"Census Tract 5120.24, Santa Clara County, California",4977,1737,1222,0.246,2273,0.457,164,0.033,1008,0.203,310,0.062,2704,0.543,1,137275,3,72059,152667,54352,143798,126280,4,4788,1058,0.221,210,0.198,279,0.264,353,0.334,216,0.204,3,3521,419,0.119,3,ACSDT5Y2022,2024/04/23 16:28:16+00,REF-CDTR-0000000356,Yes,16768.3188766486,17198746.8720573
119,368,06085512038,1400000US06085512038,5120.38,"Census Tract 5120.38, Santa Clara County, California",3142,1015,691,0.22,769,0.245,426,0.136,1196,0.381,60,0.019,2373,0.755,3,95795,5,53261,116758,,,53152,8,2848,399,0.14,40,0.1,82,0.206,257,0.644,20,0.05,2,1912,230,0.12,3,ACSDT5Y2022,2024/04/23 16:28:16+00,REF-CDTR-0000000368,Yes,21389.8951172295,14851462.1554965
120,199,06085505902,1400000US06085505902,5059.02,"Census Tract 5059.02, Santa Clara County, California",3950,1799,928,0.235,1989,0.504,43,0.011,870,0.22,120,0.03,1961,0.496,1,105542,4,105833,98057,,169063,58560,5,3751,635,0.169,208,0.328,105,0.165,305,0.48,17,0.027,3,2931,355,0.121,3,ACSDT5Y2022,2024/04/23 16:27:05+00,REF-CDTR-0000000199,Partial,14278.3763741309,9494910.72768278
121,86,06085503313,1400000US06085503313,5033.13,"Census Tract 5033.13, Santa Clara County, California",4729,1254,522,0.11,730,0.154,77,0.016,3226,0.682,174,0.037,3999,0.846,4,197159,1,107768,,,250000,,5,4457,1253,0.281,92,0.073,132,0.105,1029,0.821,0,0,4,3097,378,0.122,3,ACSDT5Y2022,2024/04/23 16:26:17+00,REF-CDTR-0000000086,Yes,19893.4620179465,17285838.511945
122,70,06085503207,1400000US06085503207,5032.07,"Census Tract 5032.07, Santa Clara County, California",3589,926,399,0.111,261,0.073,213,0.059,2658,0.741,58,0.016,3328,0.927,5,131250,3,,173182,81375,142250,,8,3465,1172,0.338,99,0.084,36,0.031,1037,0.885,0,0,4,2576,317,0.123,3,ACSDT5Y2022,2024/04/23 16:26:11+00,REF-CDTR-0000000070,Yes,19232.5264031347,13884296.1907335
123,182,06085505015,1400000US06085505015,5050.15,"Census Tract 5050.15, Santa Clara County, California",5229,1834,1559,0.298,1042,0.199,23,0.004,2190,0.419,415,0.079,4187,0.801,3,173345,2,148060,155078,,224263,147726,5,4878,1447,0.297,536,0.37,435,0.301,476,0.329,0,0,4,3789,465,0.123,3,ACSDT5Y2022,2024/04/23 16:26:59+00,REF-CDTR-0000000182,Yes,28434.8568606575,24331046.2649031
124,353,06085512021,1400000US06085512021,5120.21,"Census Tract 5120.21, Santa Clara County, California",6133,2036,931,0.152,2271,0.37,222,0.036,2393,0.39,316,0.052,3862,0.63,2,144632,3,187688,161364,250000,131384,167188,5,5671,1194,0.211,200,0.168,178,0.149,816,0.683,0,0,3,4475,551,0.123,3,ACSDT5Y2022,2024/04/23 16:28:16+00,REF-CDTR-0000000353,Yes,19215.8327643038,17327319.4116285
125,146,06085504323,1400000US06085504323,5043.23,"Census Tract 5043.23, Santa Clara County, California",5733,1846,443,0.077,760,0.133,11,0.002,4219,0.736,300,0.052,4973,0.867,4,146667,3,178106,,,149191,,7,5193,1866,0.359,156,0.084,99,0.053,1605,0.86,6,0.003,5,4193,524,0.125,3,ACSDT5Y2022,2024/04/23 16:26:40+00,REF-CDTR-0000000146,Yes,19066.2873196942,13831696.9599332
126,34,06085502302,1400000US06085502302,5023.02,"Census Tract 5023.02, Santa Clara County, California",3332,1341,1437,0.431,1493,0.448,124,0.037,208,0.062,70,0.021,1839,0.552,1,120821,4,143829,115057,113929,,307889,5,3176,507,0.16,294,0.58,188,0.371,25,0.049,0,0,2,2534,319,0.126,3,ACSDT5Y2022,2024/04/23 16:25:39+00,REF-CDTR-0000000034,Yes,11516.6712791208,7256367.66462123
